Species,TotalOrnamentValue(PreviouslyPublished),MaleBodyMass(SSDDataset).in.g,FemalesPerMaleInBreedingGroup,MalesPerBreedingGroup,SocialGroupSize,FemaleBody(SSDDataset).in.g,SexualSizeDimorphism,MaleCanineHeight.in.mm,FemaleCanineHeight.in.mm,SexualCanineDimorphism,MaleBodyMass(CanineDataset).in.g,CombinedTestesMass.in.g,MaleBodymass(TestesDataset).in.g,meanMaleBodyMass.in.g,HeadFlesh,HeadSkin,HeadHair,BodyFlesh,BodySkin,BodyHair,BodyPelageDichrom,GenitalFlesh,GenitalSkin,GenitalHair,SexualOrnamentDimorphism_(ExcludingDichromatism),SexualOrnamentDimorphism
Callicebus_torquatus,0,1280,,,3.9,1210,1.058,4.34,4.1,1.059,1280,,,1280,0,0,0,0,0,0,0,0,0,0,0,0
Chiropotes_satanas,0,2900,,,32,2580,1.124,11.09,9.6,1.155,2900,,,2900,0,0,0,0,0,0,0,0,0,0,0,0
Aotus_trivirgatus,0,813,1,1,2.9,736,1.105,5.34,4.81,1.11,813,1020,1.2,882,0,0,0,0,0,0,0,0,0,0,0,0
Ateles_geoffroyi,0,7450,,,31.9,7640,1.067,11.51,7.29,1.579,7780,7940,13.4,7723,0,0,0,0,0,0,0,0,0,0,0,0
Ateles_paniscus,0,9110,1.6,5,38.5,8440,1.079,12.11,7.73,1.567,9110,9110,64.23,9110,0,0,0,0,0,0,0,0,0,0,0,0
Avahi_laniger,0,1030,,1,2.5,1320,0.78,3.58,3.79,0.945,1030,1300,2.09,1120,0,0,0,0,0,0,0,0,0,0,0,0
Brachyteles_arachnoides,0,9610,,9.8,18,8070,1.191,9.47,7.09,1.336,9610,,,9610,0,0,0,0,0,0,0,0,0,0,0,0
Callithrix_jacchus,0,317,1,2.7,9.5,324,0.947,5.08,4.81,1.056,360,320,1.3,332,0,0,0,0,0,0,0,0,0,0,0,0
Callithrix_penicillata,0,344,,,9.5,307,1.097,5.4,5,1.08,340,300,1.08,328,0,0,0,0,0,0,0,0,0,0,0,0
Cebuella_pygmaea,0,110,,1.4,5.5,122,0.902,3.08,2.98,1.034,110,130,0.33,117,0,0,0,0,0,0,0,0,0,0,0,0
Cebus_apella,0,3650,,2,18,2520,1.448,14.1,9.69,1.455,3650,4800,9.1,4033,0,0,0,0,0,0,0,0,0,0,0,0
Cebus_capucinus,0,3680,3.7,5.5,16.4,2540,1.449,14.25,9.01,1.582,3680,,,3680,0,0,0,0,0,0,0,0,0,0,0,0
Cebus_olivaceus,0,3290,,1,21,2520,1.306,14.35,9.12,1.573,3290,,,3290,0,0,0,0,0,0,0,0,0,0,0,0
Cheirogaleus_medius,0,283,,1,5.5,282,1,3.75,3.98,0.942,280,220,1.12,261,0,0,0,0,0,0,0,0,0,0,0,0
Colobus_guereza,0,13500,3,1,9,9200,1.467,20.31,13.49,1.506,13500,10050,3.447,12350,0,0,0,0,0,0,0,0,0,0,0,0
Colobus_polykomos,0,9900,,,13.6,8300,1.193,19.13,10.81,1.77,9900,10250,10.7,10017,0,0,0,0,0,0,0,0,0,0,0,0
Colobus_satanas,0,10420,,,13.7,7420,1.402,16.08,9.16,1.755,10400,,,10410,0,0,0,0,0,0,0,0,0,0,0,0
Lagothrix_lagotricha,0,7280,,3.3,31.8,7020,1.037,14.23,8.04,1.77,7280,5220,11.2,6593,0,0,0,0,0,0,0,0,0,0,0,0
Macaca_fuscata,0,11000,,3,45.6,8030,1.37,19.56,9.59,2.04,11000,15400,72.3,12467,0,0,0,0,0,0,0,0,0,0,0,0
Macaca_nemestrina,0,11200,3,3,48,6500,1.723,28.89,12.24,2.36,11200,9980,66.7,10793,0,0,0,0,0,0,0,0,0,0,0,0
Macaca_nigra,0,9890,,,36.7,5470,1.808,29.73,11.38,2.612,9890,10600,,10127,0,0,0,0,0,0,0,0,0,0,0,0
Macaca_silenus,0,8900,,1.8,19,6100,1.459,24.66,10.12,2.437,8900,5900,42,7900,0,0,0,0,0,0,0,0,0,0,0,0
Macaca_sinica,0,5680,,5,22.7,3200,1.775,19.69,9.96,1.977,5680,,,5680,0,0,0,0,0,0,0,0,0,0,0,0
Macaca_sylvanus,0,16000,1.9,9,33.1,11000,1.455,22.81,11.29,2.02,16000,,,16000,0,0,0,0,0,0,0,0,0,0,0,0
Macaca_tonkeana,0,14900,,,10,9000,1.656,24.66,12.72,1.939,14900,,,14900,0,0,0,0,0,0,0,0,0,0,0,0
Piliocolobus_badius,0,8360,2.5,8,34.1,8210,1.018,13.31,8.55,1.557,8360,,,8360,0,0,0,0,0,0,0,0,0,0,0,0
Presbytis_comata,0,6680,,,6.8,6710,0.996,13.92,9.23,1.508,6680,,,6680,0,0,0,0,0,0,0,0,0,0,0,0
Presbytis_melalophos,0,6590,,,14.5,6470,1.019,13.95,8.15,1.712,6590,,,6590,0,0,0,0,0,0,0,0,0,0,0,0
Procolobus_verus,0,4700,,,7.8,4200,1.119,14.9,7.43,2.005,4700,,,4700,0,0,0,0,0,0,0,0,0,0,0,0
Propithecus_verreauxi,0,3250,1.7,2.5,6,2950,1.102,8.41,7.93,1.061,3250,578,3.24,2359,0,0,0,0,0,0,0,0,0,0,0,0
Saguinus_fuscicollis,0,343,,1.9,6,358,0.958,5.66,5.58,1.014,343,400,1.53,362,0,0,0,0,0,0,0,0,0,0,0,0
Saguinus_midas,0,515,,,5.8,575,0.897,5.37,5.42,0.991,520,570,1.83,535,0,0,0,0,0,0,0,0,0,0,0,0
Saguinus_oedipus,0,418,,2,6,404,1.035,5.65,5.65,1,418,520,3.4,452,0,0,0,0,0,0,0,0,0,0,0,0
Saimiri_boliviensis,0,911,2.6,,60,711,1.281,6.65,4.12,1.614,911,1020,,947,0,0,0,0,0,0,0,0,0,0,0,0
Saimiri_oerstedii,0,897,,10,50,680,1.319,7.38,4.5,1.64,897,,,897,0,0,0,0,0,0,0,0,0,0,0,0
Saimiri_sciureus,0,779,,7,32.5,662,1.177,7.1,5.02,1.414,779,780,3.2,779,0,0,0,0,0,0,0,0,0,0,0,0
Semnopithecus_entellus,0,13000,3,6,20.6,9890,1.314,18.44,10.83,1.703,13000,17000,11.1,14333,0,0,0,0,0,0,0,0,0,0,0,0
Trachypithecus_cristatus,0,6610,,,26,5760,1.148,18.57,10.94,1.697,6610,7000,6.3,6740,0,0,0,0,0,0,0,0,0,0,0,0
Trachypithecus_francoisi,0,7700,,,8.7,7350,1.048,17.91,10.42,1.719,7700,7450,3.98,7617,0,0,0,0,0,0,0,0,0,0,0,0
Trachypithecus_obscurus,0,7900,,,17,6260,1.262,15.44,8.51,1.814,7330,7390,5.82,7540,0,0,0,0,0,0,0,0,0,0,0,0
Trachypithecus_pileatus,0,12000,,,8.1,9860,1.217,19.85,10.52,1.887,12000,,,12000,0,0,0,0,0,0,0,0,0,0,0,0
Trachypithecus_vetulus,0,8170,,,12,5900,1.385,16.96,9.34,1.816,8170,,,8170,0,0,0,0,0,0,0,0,0,0,0,0
Macaca_mulatta,1,11000,3.1,2.5,39.2,8800,1.25,16.97,8.19,2.072,11000,9200,46,10400,0,1,0,0,0,0,0,0,0,0,1,1
