"","species","belly.PC1","belly.PC2","breast.PC1","breast.PC2","cheek.PC1","cheek.PC2","chin.PC1","chin.PC2","crown.PC1","crown.PC2","dorsal_tail.PC1","dorsal_tail.PC2","flank.PC1","flank.PC2","mantle.PC1","mantle.PC2","nape.PC1","nape.PC2","prim_sec.PC1","prim_sec.PC2","rump.PC1","rump.PC2","scapular.PC1","scapular.PC2","tail_coverts.PC1","tail_coverts.PC2","throat.PC1","throat.PC2","wing_coverts.PC1","wing_coverts.PC2"
"26","Francolinus_swainsonii",-1.896307677,-0.063786527,1.856048115,-0.042132103,1.385398135,-0.226382658,-3.343540289,-0.305088054,0.469512887,-0.604985994,2.044152097,-1.021711291,2.92361557,-0.213978493,-0.343598064,-0.5462211,-0.260777238,0.209779131,-2.053341807,-0.985221341,-0.207151946,-0.490790907,1.608449644,-0.068527175,0.660197307,0.349431005,-2.762070914,-0.062654961,2.075516724,0.367639839
"47","Phasianus_colchicus",3.440663834,0.879318551,-0.789596891,2.094778573,-2.83173706,-0.000160501,-2.994474524,-1.116516051,0.516099797,-0.015933285,2.417886505,-1.797161716,3.651628669,4.033605446,-6.112289296,0.164887896,-3.196170842,1.149830925,-1.5521331,-1.027549041,0.664006908,0.42770944,3.59904416,-2.172728259,1.036102256,-0.79825643,-3.075696687,1.810859526,3.457262188,2.195421308
"48","Phasianus_versicolor",3.156139985,0.803460799,-2.935357768,0.042786417,-2.895679289,-0.085604595,-2.86825855,0.023082178,1.606515342,-0.760252476,2.797075836,-3.127076882,-4.030643245,-1.869036236,1.968608087,-0.623386519,-3.331772171,1.040811423,-1.909433803,-1.847586845,0.518428733,1.109815302,4.322217903,-2.154051666,1.273275776,-1.128763184,-3.229798992,1.27810935,0.120233576,1.78221197
"49","Polyplectron_bicalcaratum",1.319795002,-0.674185655,-1.083140063,0.533417099,1.164144276,0.976865592,2.629575997,-2.053715749,-0.31106487,-0.463336414,-11.53696656,-8.100706692,-2.128932556,0.371289758,3.049345663,-0.397155442,-1.116965396,-0.57329942,0.373532755,-1.091134947,-1.158080019,-0.544817641,-3.732138682,0.606394147,-1.400347236,1.016647322,-0.220517081,-0.629115291,-3.983683977,-0.784918742
"46","Perdix_perdix",1.326458131,-1.585210311,-0.056153377,-1.424475613,5.594887456,-3.641671654,4.538736933,2.454804842,1.307423578,-0.927228765,2.20391887,-0.333367716,0.545768027,2.057885527,-0.220902793,0.188429416,0.843017542,0.584555147,0.343992259,-0.460862047,1.157395441,0.221384815,2.765181996,-0.126289482,1.137093107,-0.220123522,0.916596046,0.369121464,2.637626252,0.372370099
"NA.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Crossoptilon_auritum",2.350759279,0.358541996,-2.978443844,-0.571325871,-2.812819117,0.067190467,3.665578177,-2.389578581,-2.456648467,-0.114356697,-2.339085841,3.139564682,-3.060323767,-0.980427272,2.768055643,-0.487049674,-3.124960439,-0.152710431,1.192566152,0.415810724,-3.017609165,0.371068373,-2.496497704,-0.270363187,-2.549447568,0.539723299,-2.444134927,0.067787514,-2.607832345,-1.095290572
"16","Chrysolophus_amherstiae",-6.05335794,5.356711784,-2.460784209,-1.538045733,-2.888660455,-0.094787436,-2.867930058,0.202129617,1.902637804,0.387140856,1.571741502,-1.878627531,8.357025207,-6.661724552,2.071432138,1.498744815,8.800311576,10.89190816,0.533594051,-0.556913308,11.31917851,-2.319644246,-1.500433465,2.839270693,7.167760685,5.392069862,-1.979390167,-0.453624999,-5.163670524,-0.325912689
"15","Catreus_wallichii",1.945084358,-0.603159283,3.671558519,-2.040298181,-2.836899616,0.031417131,2.274174885,-0.522140878,2.437273705,-0.754459442,-0.204103824,0.995565761,3.771129681,-0.836818358,0.070437122,0.668396801,2.718727723,2.145621764,0.569353139,-0.425371944,3.659903188,-2.400539764,3.752584026,2.25637051,4.449863242,0.429253886,4.533544729,1.161561962,4.022593165,1.343340142
"12","Bambusicola_thoracica",-5.59651457,-1.993548657,-1.094161051,-0.0035816,3.592504274,-5.430915128,3.882301912,7.046310409,0.646557286,-0.630897155,2.073690859,-0.02865992,6.471987384,3.347580176,0.214921241,-1.164699287,0.170219513,-0.640264104,1.924883738,-1.495132313,0.888541112,-1.068543625,-0.105405176,-2.121831519,1.409907921,0.847479076,2.608247263,-3.141353368,1.378923434,-1.022484014
"11","Bambusicola_fytchii",-4.082047958,-1.065723925,0.37251109,1.562826306,3.588208053,-2.979094481,6.257301713,4.168884791,1.178465202,-1.668004659,0.808963508,0.528752313,-1.856002875,0.370286896,1.088649542,-1.369935233,0.128176705,-0.961696327,-1.168454232,-2.423661769,-0.663129502,-0.567942942,-1.03382687,-1.545358265,-0.516015946,0.625885392,5.092231002,-2.627725715,-0.479707551,-1.538450541
"55","Pucrasia_macrolopha",1.482257165,-1.786109001,-1.285097079,1.719944659,-2.1494608,0.727618179,-2.755279852,-0.133176613,-2.005585856,0.436364146,3.433799482,-1.286578946,3.301924847,-0.804137741,0.673426314,-0.349418028,-1.4601711,0.24910341,0.222125594,-0.892600029,0.910908706,0.596727619,1.008051643,-0.122343509,2.460443726,-1.012513089,-1.121834379,-1.237617691,2.621379306,0.836765206
"57","Syrmaticus_ellioti",-4.949181308,5.322924502,0.131955603,2.60472139,-2.841946931,0.061602701,-2.542804877,0.334210173,1.562794837,-0.844094544,1.481685236,0.497172307,3.85612927,-5.72084646,-1.056658569,-2.172868153,0.184435547,1.113457939,0.678337139,-1.031973999,-3.306649524,0.135540469,-3.057907892,-1.482549783,-2.955816131,0.919240283,-2.010758798,-0.476704497,-0.039384346,-1.94166112
"54","Polyplectron_malacense",1.112422612,-0.961989772,0.077341101,0.371919551,-2.05582445,-0.565429893,1.241080031,-0.403573938,-2.368761316,0.72745373,-4.351879654,-1.305936295,-1.6072037,0.615668078,3.230112335,0.013981285,-2.139192849,-0.312161628,0.237458013,-1.198710086,-1.157293991,-0.679477256,-3.224053345,0.081162107,0.311396272,0.527292623,-0.208710855,-0.524452357,-3.765376244,-0.367084618
"56","Rheinardia_ocellata",2.114493674,-0.707356073,-2.030016949,0.63774281,-2.526531362,-0.145323356,2.021526123,-9.04e-05,-0.615435296,-0.76210241,-0.517509144,1.432605962,-2.699792808,0.155296941,2.37893847,-0.866707828,-1.169627436,-0.33620944,2.258394485,0.703397715,-2.294471633,-0.089586302,-1.717564563,-0.905609115,-1.690906205,0.798068613,-0.206729738,-1.329730661,-2.062428759,-1.301486371
